club_name,club_name_roi,seasonal_advertising_equivalent_low_eur,seasonal_advertising_equivalent_base_eur,seasonal_advertising_equivalent_high_eur,tv_matches_available,tv_match_coverage_pct,tv_audience_sum,tv_aev_base_eur,predicted_sponsorship_eur_m,predicted_sponsorship_eur,total_media_value_base_eur,social_roi_proxy_pct,total_roi_absolute_proxy_eur,total_roi_proxy_pct,social_media_value_eur_m,tv_media_value_eur_m,total_media_value_eur_m,total_roi_absolute_proxy_eur_m,league_final,absolute_roi_eur_m,social_roi_pct,total_roi_pct,media_cost_coverage_pct,tv_methodology,tv_audience_fully_observed,pre_tv_ready,live_uk_tv_matches,tv_audience_proxy_avg_per_match,tv_audience_proxy_sum,tv_cpm_low_eur,tv_aev_low_eur,tv_cpm_base_eur,tv_cpm_high_eur,tv_aev_high_eur,total_media_value_low_eur,total_media_value_high_eur,total_roi_absolute_proxy_low_eur,total_roi_absolute_proxy_base_eur,total_roi_absolute_proxy_high_eur,total_roi_proxy_low_pct,total_roi_proxy_base_pct,total_roi_proxy_high_pct,total_media_cost_coverage_low_pct,total_media_cost_coverage_base_pct,total_media_cost_coverage_high_pct,absolute_roi_proxy_eur_m,tv_matches,tv_audience_source,tv_audience_metric,tv_audience_is_proxy,tv_broadcasters,stadium_capacity,total_attendance,average_attendance,attendance_utilization,tv_attendance_weight,tv_audience_proxy_avg_low_per_match,tv_audience_proxy_sum_low,tv_audience_proxy_avg_base_per_match,tv_audience_proxy_sum_base,tv_audience_proxy_avg_high_per_match,tv_audience_proxy_sum_high,tv_audience_is_observed,tv_proxy_method,tv_proxy_baseline_avg_viewers,tv_proxy_attendance_benchmark,tv_proxy_anchor_season,tv_target_season
Atalanta,Atalanta,482596.416,727110.6240000001,1203275.04,36.0,94.74,18829439.0,301271.024,82.6,82600000.0,1028381.648,-99.11972079418886,-81571618.352,-98.75498589830508,0.727110624,0.301271024,1.028381648,-81.571618352,Serie A,-81.57161835199999,-99.11972079418886,-98.75498589830508,1.2450141016949154,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bologna,Bologna,345459.264,520164.596,861672.46,36.0,94.74,11578879.0,185262.064,51.77,51770000.0,705426.66,-98.9952393355225,-51064573.34,-98.63738331079776,0.520164596,0.185262064,0.70542666,-51.06457334,Serie A,-51.06457334,-98.9952393355225,-98.63738331079776,1.3626166892022407,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari,Cagliari,223139.648,336104.072,556454.52,37.0,97.37,13687751.0,219004.016,64.45,64450000.0,555108.088,-99.47850415515904,-63894891.912,-99.13869963072148,0.336104072,0.219004016,0.555108088,-63.894891912,Serie A,-63.894891912000006,-99.47850415515904,-99.13869963072149,0.8613003692785105,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como,Como,290294.312,443535.46800000005,717641.78,36.0,94.74,11904636.0,190474.176,25.94,25940000.0,634009.6440000001,-98.29014854279109,-25305990.356,-97.55586104857362,0.443535468,0.190474176,0.634009644,-25.305990356,Serie A,-25.305990356000002,-98.29014854279109,-97.55586104857363,2.4441389514263685,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empoli,Empoli,84958.42399999998,127692.236,212141.45999999996,37.0,97.37,11449412.0,183190.592,33.46342086791992,33463420.86791992,310882.828,-99.6184124853702,-33152538.03991992,-99.07097714478428,0.127692236,0.183190592,0.310882828,-33.15253803991992,Serie A,-33.152538039919925,-99.6184124853702,-99.0709771447843,0.9290228552157118,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiorentina,Fiorentina,889487.8,1336931.7,2221019.5,37.0,97.37,15587237.0,249395.792,43.54,43540000.0,1586327.492,-96.92941731740927,-41953672.508,-96.3566203674782,1.3369317,0.2493957919999999,1.586327492,-41.953672508,Serie A,-41.953672508,-96.92941731740927,-96.35662036747817,3.643379632521819,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genoa,Genoa,211810.328,318788.992,528452.32,37.0,97.37,12874879.0,205998.064,42.79,42790000.0,524787.0560000001,-99.25499183921475,-42265212.944,-98.77357547090442,0.318788992,0.205998064,0.5247870560000001,-42.265212944,Serie A,-42.265212944,-99.25499183921475,-98.77357547090442,1.2264245290955833,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inter,Inter,11701190.752,17658051.128000002,29146711.88,36.0,94.74,34019712.0,544315.392,107.45,107450000.0,18202366.520000003,-83.56626232852489,-89247633.47999999,-83.05968681247091,17.658051128000004,0.544315392,18.20236652,-89.24763347999999,Serie A,-89.24763348,-83.56626232852489,-83.05968681247093,16.940313187529085,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,Juventus,24020253.696,36339980.544,59741034.239999995,36.0,94.74,36087290.0,577396.64,115.08,115080000.0,36917377.184,-68.42198423357664,-78162622.816,-67.92024923183872,36.339980544,0.57739664,36.917377184,-78.162622816,Serie A,-78.162622816,-68.42198423357664,-67.92024923183871,32.07975076816128,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazio,Lazio,544742.2,820488.2999999999,1358480.4999999998,37.0,97.37,18441530.0,295064.48,35.51,35510000.0,1115552.7799999998,-97.68941622078287,-34394447.22,-96.8584827372571,0.8204883,0.2950644799999999,1.1155527799999998,-34.394447219999996,Serie A,-34.394447219999996,-97.68941622078287,-96.8584827372571,3.141517262742889,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecce,Lecce,71273.10399999999,107264.956,177827.46,37.0,97.37,10728614.0,171657.824,45.41,45410000.0,278922.78,-99.76378560669455,-45131077.22,-99.38576793657784,0.107264956,0.171657824,0.27892278,-45.13107722,Serie A,-45.131077219999995,-99.76378560669455,-99.38576793657784,0.6142320634221538,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan,Milan,10898546.88,16400380.319999998,27193807.200000003,36.0,94.74,31161079.0,498577.264,96.56,96560000.0,16898957.584,-83.01534763877383,-79661042.41600001,-82.49900830157416,16.40038032,0.498577264,16.898957583999998,-79.66104241600002,Serie A,-79.661042416,-83.01534763877383,-82.49900830157415,17.500991698425846,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monza,Monza,70672.704,106343.456,176347.36000000002,37.0,97.37,11150469.0,178407.504,34.18928527832031,34189285.27832031,284750.95999999996,-99.6889567736374,-33904534.31832031,-99.16713392022686,0.106343456,0.178407504,0.2847509599999999,-33.90453431832031,Serie A,-33.904534318320316,-99.6889567736374,-99.16713392022687,0.8328660797731348,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoli,Napoli,1985758.4,2985078.600000001,4957955.0,37.0,97.37,34349306.0,549588.896,70.77,70770000.0,3534667.496000001,-95.782,-67235332.504,-95.00541543591916,2.985078600000001,0.5495888959999999,3.5346674960000013,-67.235332504,Serie A,-67.235332504,-95.782,-95.00541543591919,4.994584564080827,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parma,Parma,183875.768,276469.152,459033.92,37.0,97.37,10181361.0,162901.776,29.48,29480000.0,439370.928,-99.06218062415198,-29040629.072,-98.5095965807327,0.276469152,0.162901776,0.439370928,-29.040629072,Serie A,-29.040629072,-99.06218062415198,-98.5095965807327,1.4904034192672997,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma,Roma,4623077.6,7055366.3999999985,11436944.0,37.0,97.37,25036201.0,400579.216,54.8,54800000.0,7455945.6159999985,-87.12524379562045,-47344054.384,-86.39425982481752,7.055366399999999,0.400579216,7.455945615999998,-47.344054384,Serie A,-47.344054383999996,-87.12524379562045,-86.39425982481752,13.60574017518248,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torino,Torino,225803.6,339701.0,563513.4,37.0,97.37,12962079.0,207393.264,14.94,14940000.0,547094.264,-97.72623159303885,-14392905.736,-96.33805713520748,0.339701,0.207393264,0.5470942639999999,-14.392905736,Serie A,-14.392905736,-97.72623159303885,-96.3380571352075,3.6619428647925027,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udinese,Udinese,179344.80000000002,269028.37200000003,448350.828,37.0,97.37,12150711.0,194411.376,24.76,24760000.0,463439.748,-98.91345568659126,-24296560.252,-98.12827242326333,0.269028372,0.194411376,0.463439748,-24.296560252,Serie A,-24.296560252000003,-98.91345568659126,-98.12827242326333,1.8717275767366717,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezia,Venezia,102763.704,154542.65600000002,256512.16000000003,37.0,97.37,10957350.0,175317.6,36.27116775512695,36271167.75512695,329860.25600000005,-99.5739242335859,-35941307.499126956,-99.09057172289864,0.154542656,0.1753176,0.3298602560000001,-35.94130749912696,Serie A,-35.94130749912695,-99.5739242335859,-99.09057172289862,0.9094282771013737,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verona,Verona,140452.56,211262.14,350548.10000000003,37.0,97.37,10102881.0,161646.096,30.71,30710000.0,372908.236,-99.31207378704003,-30337091.764,-98.78571072614784,0.21126214,0.161646096,0.372908236,-30.337091764,Serie A,-30.337091764,-99.31207378704003,-98.78571072614784,1.2142892738521653,Auditel club-level / match-level observed audience,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,Arsenal,21631366.016000003,32581729.024000004,53943735.04,,,,432912.0,115.59,115590000.0,33014641.024000004,-71.81267495112034,,,32.581729024000005,0.432912,33.01464102400001,,Premier League,-82.57535897599999,-71.81267495112034,-71.4381512033913,28.561848796608707,UK live-TV schedule + BARB linear audience proxy,False,True,29.0,933000.0,27057000.0,14.0,378798.0,16.0,18.0,487026.0,22010164.016000003,54430761.04,-93579835.984,-82575358.976,-61159238.96,-80.9584185344753,-71.4381512033913,-52.91049308763734,19.0415814655247,28.561848796608707,47.08950691236266,-82.57535897599999,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,Aston Villa,2887240.6,4349785.899999999,7199176.5,,,,403056.0,110.23,110230000.0,4752841.899999999,-96.0539001179352,,,4.3497859,0.403056,4.752841899999999,,Premier League,-105.4771581,-96.0539001179352,-95.68825011339923,4.311749886600744,UK live-TV schedule + BARB linear audience proxy,False,True,27.0,933000.0,25191000.0,14.0,352674.0,16.0,18.0,453438.0,3239914.6,7652614.5,-106990085.4,-105477158.1,-102577385.5,-97.06076875623695,-95.68825011339923,-93.05759366778554,2.9392312437630412,4.311749886600744,6.942406332214461,-105.4771581,,,,,,,,,,,,,,,,,,,,,,
Bournemouth,Bournemouth,489105.752,738256.628,1218166.38,,,,253776.0,64.72,64720000.0,992032.628,-98.8593068170581,,,0.738256628,0.253776,0.992032628,,Premier League,-63.727967372,-98.8593068170581,-98.46719309641531,1.5328069035846723,UK live-TV schedule + BARB linear audience proxy,False,True,17.0,933000.0,15861000.0,14.0,222054.0,16.0,18.0,285498.0,711159.752,1503664.38,-64008840.248,-63727967.372,-63216335.62,-98.9011746724351,-98.46719309641531,-97.6766619592089,1.098825327564895,1.5328069035846723,2.3233380407911,-63.727967372,,,,,,,,,,,,,,,,,,,,,,
Brentford,Brentford,453174.016,685081.024,1127615.04,,,,223920.0,61.42,61420000.0,909001.024,-98.88459618365354,,,0.6850810239999999,0.22392,0.909001024,,Premier League,-60.510998976,-98.88459618365354,-98.52002438293717,1.479975617062846,UK live-TV schedule + BARB linear audience proxy,False,True,15.0,933000.0,13995000.0,14.0,195930.0,16.0,18.0,251910.0,649104.0160000001,1379525.04,-60770895.984,-60510998.976,-60040474.96,-98.94317157929014,-98.52002438293717,-97.7539481602084,1.0568284207098666,1.479975617062846,2.246051839791599,-60.510998976,,,,,,,,,,,,,,,,,,,,,,
Brighton,Brighton,903745.184,1370722.776,2244257.96,,,,238848.0,77.72,77720000.0,1609570.776,-98.23633199176533,,,1.370722776,0.238848,1.609570776,,Premier League,-76.110429224,-98.23633199176533,-97.9290134122491,2.070986587750901,UK live-TV schedule + BARB linear audience proxy,False,True,16.0,933000.0,14928000.0,14.0,208992.0,16.0,18.0,268704.0,1112737.184,2512961.96,-76607262.816,-76110429.224,-75207038.04,-98.56827433865158,-97.9290134122491,-96.76664698919198,1.4317256613484302,2.070986587750901,3.233353010808029,-76.110429224,,,,,,,,,,,,,,,,,,,,,,
Chelsea,Chelsea,26808664.284,40372116.426,66862540.71,,,,388128.0,125.48,125480000.0,40760244.426,-67.82585557379662,,,40.372116426,0.388128,40.760244426,,Premier League,-84.719755574,-67.82585557379662,-67.51654094198278,32.48345905801721,UK live-TV schedule + BARB linear audience proxy,False,True,26.0,933000.0,24258000.0,14.0,339612.0,16.0,18.0,436644.0,27148276.284,67299184.71000001,-98331723.716,-84719755.574,-58180815.28999999,-78.36445944851769,-67.51654094198278,-46.366604470831994,21.63554055148231,32.48345905801721,53.633395529168006,-84.719755574,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,Crystal Palace,1001432.848,1509502.272,2496229.1199999996,,,,268704.0,104.57,104570000.0,1778206.272,-98.55646717796692,,,1.5095022720000002,0.268704,1.778206272,,Premier League,-102.791793728,-98.55646717796692,-98.2995062905231,1.7004937094769057,UK live-TV schedule + BARB linear audience proxy,False,True,18.0,933000.0,16794000.0,14.0,235116.0,16.0,18.0,302292.0,1236548.848,2798521.1199999996,-103333451.152,-102791793.728,-101771478.88,-98.81749177775652,-98.2995062905231,-97.32378204073828,1.1825082222434733,1.7004937094769057,2.6762179592617383,-102.791793728,,,,,,,,,,,,,,,,,,,,,,
Everton,Everton,1800235.256,2718440.884,4482500.14,,,,238848.0,32.01,32009999.999999996,2957288.884,-91.50752613558262,,,2.718440884,0.238848,2.957288884,,Premier League,-29.052711116,-91.50752613558262,-90.76135931271476,9.238640687285224,UK live-TV schedule + BARB linear audience proxy,False,True,16.0,933000.0,14928000.0,14.0,208992.0,16.0,18.0,268704.0,2009227.256,4751204.14,-30000772.743999995,-29052711.115999997,-27258795.859999996,-93.72312634801624,-90.76135931271476,-85.15712546079351,6.276873651983755,9.238640687285224,14.8428745392065,-29.052711116,,,,,,,,,,,,,,,,,,,,,,
Fulham,Fulham,629601.024,950918.536,1567485.56,,,,208992.0,60.63,60630000.0,1159910.5359999998,-98.43160393204684,,,0.950918536,0.208992,1.159910536,,Premier League,-59.470089464,-98.43160393204684,-98.08690328880093,1.913096711199076,UK live-TV schedule + BARB linear audience proxy,False,True,14.0,933000.0,13062000.0,14.0,182868.0,16.0,18.0,235116.0,812469.024,1802601.56,-59817530.976,-59470089.464,-58827398.44,-98.65995542800594,-98.08690328880093,-97.02688180768595,1.3400445719940624,1.913096711199076,2.973118192314036,-59.470089464,,,,,,,,,,,,,,,,,,,,,,
