sponsor_name,facebook_followers_sponsor,x_followers_sponsor,instagram_followers_sponsor,youtube_followers_sponsor,category,source_sheet,snapshot_year_sponsor,social_followers_total_sponsor,platforms_available,facebook_share_sponsor,x_share_sponsor,instagram_share_sponsor,youtube_share_sponsor,log_facebook_followers_sponsor,log_x_followers_sponsor,log_instagram_followers_sponsor,log_youtube_followers_sponsor,log_social_followers_total_sponsor,sponsor_social_total,sponsor_facebook_share,sponsor_x_share,sponsor_instagram_share,sponsor_youtube_share,club_name,facebook_followers_club,x_followers_club,instagram_followers_club,youtube_followers_club,snapshot_year_club,social_followers_total_club,social_platforms_available,facebook_share_club,x_share_club,instagram_share_club,youtube_share_club,log_facebook_followers_club,log_x_followers_club,log_instagram_followers_club,log_youtube_followers_club,log_social_followers_total_club,social_data_status,social_data_notes,sponsor_club_digital_fit,sponsor_club_platform_mix_fit,league,country,SVI_2025,svi_rank,predicted_sponsorship_eur_m,match_based_roi_base_pct,aev_cost_coverage_pct,roi_efficiency_index,roi_proxy_available,sponsor_entity_key,sponsor_club_rank,digital_fit_percentile,svi_percentile,recommendation_class,roi_support,recommendation_evidence,recommendation_priority_order,final_recommendation_rank
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Inter,35000000.0,2886796.0,14300000.0,4010000.0,2025,56196796.0,4,0.6228113076055083,0.0513694054728671,0.2544629056788219,0.0713563812428025,17.370858648025116,14.875658140966744,16.475770165160203,15.20430204865928,17.8443703203572,WORKBOOK,,97.65980305428027,83.79652116860844,Serie A,Italy,54.34,15,107.45,,,,0,Acqua Lete | BEVANDE,9,91.66666666666666,85.41666666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Tottenham Hotspur,37000000.0,8700983.0,17400000.0,4900000.0,2025,68000983.0,4,0.5441097814718355,0.1279537826681123,0.2558786539894577,0.0720577818705944,17.426428497635523,15.978946680677376,16.67198082165602,15.404745967162468,18.03503273362392,WORKBOOK,,95.09770854965691,75.92636855524117,Premier League,England,75.82,6,145.22,,,,0,Acqua Lete | BEVANDE,16,84.375,94.79166666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Milan,29000000.0,7920765.0,18200000.0,2190000.0,2025,57310765.0,4,0.5060131373224559,0.138207280953238,0.317566865492024,0.038212716232282,17.182806422433504,15.884998476285524,16.716932206992077,14.599412558413585,17.863999052343328,WORKBOOK,,91.2915170708328,71.79621457371637,Serie A,Italy,48.15,22,96.56,-81.99956062385442,18.00043937614558,36.26878184590585,1,Acqua Lete | BEVANDE,25,75.0,78.125,PRIORITY,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,1,3
Adidas,43000000.0,4120476.0,29400000.0,2190000.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,78710476.0,4,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,17.57671069691365,15.231479491323134,17.196505266322514,14.599412558413585,18.181286830321337,78710476.0,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,Bayern Munich,64000000.0,6494125.0,44100000.0,5120000.0,2025,119714125.0,4,0.5346069229508214,0.0542469403673125,0.3683775828458003,0.0427685538360657,17.974393656948944,15.68640863398211,17.60197036309281,15.448665192328171,18.600617175261277,WORKBOOK,,99.97037127166456,98.31577726944106,Bundesliga,Germany,90.74,3,171.46,-85.76043760399334,14.239562396006654,26.21589395300713,1,Adidas | ABBIGLIAMENTO SPORTIVO,1,100.0,97.91666666666666,PRIORITY,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,1,1
Adidas,43000000.0,4120476.0,29400000.0,2190000.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,78710476.0,4,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,17.57671069691365,15.231479491323134,17.196505266322514,14.599412558413585,18.181286830321337,78710476.0,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,Milan,29000000.0,7920765.0,18200000.0,2190000.0,2025,57310765.0,4,0.5060131373224559,0.138207280953238,0.317566865492024,0.038212716232282,17.182806422433504,15.884998476285524,16.716932206992077,14.599412558413585,17.863999052343328,WORKBOOK,,98.80855669421852,90.37532697122688,Serie A,Italy,48.15,22,96.56,-81.99956062385442,18.00043937614558,36.26878184590585,1,Adidas | ABBIGLIAMENTO SPORTIVO,5,95.83333333333334,78.125,PRIORITY,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,1,2
Adidas,43000000.0,4120476.0,29400000.0,2190000.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,78710476.0,4,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,17.57671069691365,15.231479491323134,17.196505266322514,14.599412558413585,18.181286830321337,78710476.0,0.5463059326435785,0.05234977870036,0.3735208004586327,0.0278234881974287,Aston Villa,7100000.0,2368453.0,4400000.0,757000.0,2025,14625453.0,4,0.4854550488111376,0.1619404882706881,0.3008453823618318,0.0517590805563424,15.775605482856603,14.677747979582506,15.29711532616119,13.537119853422675,16.49827399333542,WORKBOOK,,97.86989042156216,86.64736980707582,Premier League,England,55.92,14,110.23,,,,0,Adidas | ABBIGLIAMENTO SPORTIVO,10,90.625,86.45833333333334,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,3
Allianz,3900000.0,53011.0,152000.0,29800.0,ASSICURAZIONI,ASSICURAZIONI,2025,4134811.0,4,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,15.1764873675101,10.878273582000569,11.93164237875414,10.30229722897745,15.23495241986825,4134811.0,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,Inter,35000000.0,2886796.0,14300000.0,4010000.0,2025,56196796.0,4,0.6228113076055083,0.0513694054728671,0.2544629056788219,0.0713563812428025,17.370858648025116,14.875658140966744,16.475770165160203,15.20430204865928,17.8443703203572,WORKBOOK,,93.35373973740596,67.96001185088362,Serie A,Italy,54.34,15,107.45,,,,0,Allianz | ASSICURAZIONI,11,89.58333333333334,85.41666666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
Allianz,3900000.0,53011.0,152000.0,29800.0,ASSICURAZIONI,ASSICURAZIONI,2025,4134811.0,4,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,15.1764873675101,10.878273582000569,11.93164237875414,10.30229722897745,15.23495241986825,4134811.0,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,Tottenham Hotspur,37000000.0,8700983.0,17400000.0,4900000.0,2025,68000983.0,4,0.5441097814718355,0.1279537826681123,0.2558786539894577,0.0720577818705944,17.426428497635523,15.978946680677376,16.67198082165602,15.404745967162468,18.03503273362392,WORKBOOK,,89.81122359338293,60.08985923751633,Premier League,England,75.82,6,145.22,,,,0,Allianz | ASSICURAZIONI,17,83.33333333333334,94.79166666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Allianz,3900000.0,53011.0,152000.0,29800.0,ASSICURAZIONI,ASSICURAZIONI,2025,4134811.0,4,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,15.1764873675101,10.878273582000569,11.93164237875414,10.30229722897745,15.23495241986825,4134811.0,0.943211189096672,0.0128206585500522,0.0367610514724856,0.0072071008807899,Athletic Bilbao,4300000.0,984531.0,1600000.0,746000.0,2025,7630531.0,4,0.5635256576508241,0.1290252277331682,0.2096839656375159,0.0977651489784918,15.274125813221904,13.79992168034212,14.285514812209817,13.522482219667571,15.847668125600624,WORKBOOK,,92.13252354091532,62.0314468554152,La Liga,Spain,31.48,41,67.25,,,,0,Allianz | ASSICURAZIONI,14,86.45833333333334,58.333333333333336,STRONG_FIT,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,2,3
Armani,810422.0,3147936.0,5500000.0,257000.0,MODA,MODA,2025,9715358.0,4,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,13.605311612560271,14.962257875612694,15.520258832020865,12.456835254920373,16.089218593276133,9715358.0,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,SC Freiburg,393528.0,275132.0,619000.0,24300.0,2025,1311960.0,4,0.299954266898381,0.2097106619104241,0.4718131650355194,0.0185219061556754,12.88291004170983,12.525009896097972,13.335862167174314,10.098272780745283,14.0870335224346,WORKBOOK,,91.7054504812831,78.34623195001849,Bundesliga,Germany,45.12,25,91.23,,,,0,Armani | MODA,1,100.0,75.0,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
